[train] init from experiments/expI_kd_dynamic/fairD_C/checkpoint.pt: loaded 261/261 keys missing=0 unexpected=0
[train] stage=D adaptive=True params=0.235M
/home/mycode/ai_study/trac/training/train.py:138: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  running[k] = running.get(k, 0.0) + float(v)
[stage D] ep 2 step 1650/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0005  149ms/step
[stage D] ep 2 step 1700/4366 loss 0.2228 det 0.1062 da 0.0594 lane 0.0567 budget 0.0005  149ms/step
[stage D] ep 2 step 1750/4366 loss 0.2228 det 0.1062 da 0.0594 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1800/4366 loss 0.2228 det 0.1062 da 0.0594 lane 0.0567 budget 0.0005  149ms/step
[stage D] ep 2 step 1850/4366 loss 0.2229 det 0.1061 da 0.0595 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1900/4366 loss 0.2230 det 0.1061 da 0.0596 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 1950/4366 loss 0.2230 det 0.1061 da 0.0596 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2000/4366 loss 0.2231 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2050/4366 loss 0.2231 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2100/4366 loss 0.2231 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2150/4366 loss 0.2231 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2200/4366 loss 0.2230 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2250/4366 loss 0.2231 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2300/4366 loss 0.2231 det 0.1061 da 0.0597 lane 0.0568 budget 0.0005  149ms/step
[stage D] ep 2 step 2350/4366 loss 0.2232 det 0.1061 da 0.0598 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2400/4366 loss 0.2232 det 0.1061 da 0.0598 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2450/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2500/4366 loss 0.2231 det 0.1061 da 0.0598 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2550/4366 loss 0.2231 det 0.1062 da 0.0598 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2600/4366 loss 0.2232 det 0.1062 da 0.0598 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2650/4366 loss 0.2231 det 0.1062 da 0.0598 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 2700/4366 loss 0.2232 det 0.1062 da 0.0597 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 2750/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 2800/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2850/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 2900/4366 loss 0.2232 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 2950/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 3000/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3050/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3100/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3150/4366 loss 0.2232 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3200/4366 loss 0.2232 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3250/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3300/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3350/4366 loss 0.2231 det 0.1062 da 0.0597 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3400/4366 loss 0.2230 det 0.1062 da 0.0596 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3450/4366 loss 0.2230 det 0.1062 da 0.0596 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3500/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3550/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3600/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3650/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3700/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 3750/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 3800/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 3850/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 3900/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 3950/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 4000/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 4050/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0567 budget 0.0004  149ms/step
[stage D] ep 2 step 4100/4366 loss 0.2230 det 0.1062 da 0.0596 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 4150/4366 loss 0.2230 det 0.1063 da 0.0596 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 4200/4366 loss 0.2230 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 4250/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 4300/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 step 4350/4366 loss 0.2229 det 0.1062 da 0.0595 lane 0.0568 budget 0.0004  149ms/step
[stage D] ep 2 DONE avg_loss=0.2229 saved experiments/expI_kd_dynamic/fairD_D/checkpoint.pt
[train] done -> experiments/expI_kd_dynamic/fairD_D
